,ja_intro,en_categories,title,language,link
0,リシ・スナク（英語: Rishi Sunak ['rɪʃi ˈsuːnæk]、ヒンディー語: ऋषि सुनक、1980年5月12日 - ）は、イギリスの政治家。同国第79代首相（在任: 2022年10月25日 - 2024年7月5日）、保守党党首、庶民院議員（リッチモンド・アンド・ノーサラートン選挙区選出）。イギリス初の非白人及びインド系首相である。オックスフォード大学卒業後、ゴールドマン・サックス勤務を経て、スタンフォード大学経営大学院でMBAを取得。ザ・チルドレンズ・インベストメント・ファンド元ファウンダー。ヘッジファンドテリーム・パートナーズ共同創業者。カタマラン・ベンチャーズ元取締役。義理の父は、インドの大手IT企業であるインフォシスの創業者ナラヤナ・ムルティである。,"Category:1980 births|Category:21st-century prime ministers of the United Kingdom|Category:All articles with dead external links|Category:All articles with unsourced statements|Category:Alumni of Lincoln College, Oxford|Category:Articles with dead external links from February 2025|Category:Articles with hAudio microformats|Category:Articles with short description|Category:Articles with unsourced statements from September 2023|Category:British Indian history|Category:CS1 maint: multiple names: authors list|Category:Chancellors of the Exchequer of the United Kingdom|Category:Chief Secretaries to the Treasury|Category:Conservative Party (UK) MPs for English constituencies|Category:Conservative Party prime ministers of the United Kingdom|Category:English Hindus|Category:English people of Indian descent|Category:English people of Punjabi descent|Category:Goldman Sachs people|Category:Leaders of the Conservative Party (UK)|Category:Leaders of the Opposition (United Kingdom)|Category:Living people|Category:Members of the Privy Council of the United Kingdom|Category:Pages including recorded pronunciations|Category:Pages using Sister project links with hidden wikidata|Category:Pages using the Phonos extension|Category:Partygate scandal|Category:People appearing on C-SPAN|Category:People educated at Winchester College|Category:Politicians from Southampton|Category:Right-wing politics in the United Kingdom|Category:Rishi Sunak|Category:Short description matches Wikidata|Category:Stanford Graduate School of Business alumni|Category:UK MPs 2015–2017|Category:UK MPs 2017–2019|Category:UK MPs 2019–2024|Category:UK MPs 2024–present|Category:Use British English from December 2023|Category:Use dmy dates from February 2025|Category:Wikipedia indefinitely semi-protected pages",Rishi Sunak,ja,https://ja.wikipedia.org/wiki/%E3%83%AA%E3%82%B7%E3%83%BB%E3%82%B9%E3%83%8A%E3%82%AF
1,"ビドヤ・デビ・バンダリ（ネパール語: विद्यादेवी भण्डारी または विद्या देवी भण्डारी, IAST: Vidyā Devī Bhaṇḍārī, 1961年6月19日 -）は、ネパールの女性運動家、政治家。2015年にネパール連邦民主共和国大統領に就任した。英語表記では Bidhya (Bidya) Devi Bhandari など。","Category:1961 births|Category:21st-century Nepalese women politicians|Category:21st-century women presidents|Category:Articles containing Nepali (macrolanguage)-language text|Category:Articles with short description|Category:CS1 Nepali-language sources (ne)|Category:Candidates for President of Nepal|Category:Commons category link from Wikidata|Category:Communist Party of Nepal (Unified Marxist–Leninist) politicians|Category:Female defence ministers|Category:Female heads of state|Category:First women presidents in Asia|Category:Independent politicians in Nepal|Category:Living people|Category:Members of the 2nd Nepalese Constituent Assembly|Category:Ministers of defence of Nepal|Category:Nepal MPs 1991–1994|Category:Nepal MPs 1994–1999|Category:Nepal MPs 1999–2002|Category:Nepalese Hindus|Category:Pages with Nepali (macrolanguage) IPA|Category:People from Bhojpur District, Nepal|Category:Presidents of Nepal|Category:Short description is different from Wikidata|Category:Use dmy dates from October 2015|Category:Women presidents in Asia",Bidya Devi Bhandari,ja,https://ja.wikipedia.org/wiki/%E3%83%93%E3%83%89%E3%83%A4%E3%83%BB%E3%83%87%E3%83%93%E3%83%BB%E3%83%90%E3%83%B3%E3%83%80%E3%83%AA
2,グレタ・エルンマン・トゥーンベリ（スウェーデン語: Greta Ernman Thunberg グリエタ・アーンマン・トゥーンバーリ [²ɡreːta ¹æːɳman ²tʉːnbærj] ( 音声ファイル) ( 音声ファイル2); 2003年1月3日 - ）は、スウェーデンの環境活動家である。,Category:2003 births|Category:21st-century Swedish people|Category:21st-century Swedish women|Category:Activists for Palestinian solidarity|Category:Activists with disabilities|Category:All articles containing potentially dated statements|Category:Articles containing Swedish-language text|Category:Articles containing potentially dated statements from April 2022|Category:Articles containing video clips|Category:Articles with hCards|Category:Articles with short description|Category:Autism activists|Category:Biography with signature|Category:CS1 Finnish-language sources (fi)|Category:CS1 French-language sources (fr)|Category:CS1 German-language sources (de)|Category:CS1 Portuguese-language sources (pt)|Category:CS1 Spanish-language sources (es)|Category:CS1 Swedish-language sources (sv)|Category:CS1 interproject-linked names|Category:CS1 interwiki-linked names|Category:Fellows of the Royal Scottish Geographical Society|Category:Good articles|Category:Greta Thunberg|Category:Living people|Category:Pages including recorded pronunciations|Category:Pages using the Phonos extension|Category:Pages with Swedish IPA|Category:Peace award winners|Category:People appearing on C-SPAN|Category:People from Stockholm|Category:People with Asperger syndrome|Category:People with obsessive–compulsive disorder|Category:Short description is different from Wikidata|Category:Sommar (radio program) hosts|Category:Swedish anti-Zionists|Category:Swedish climate activists|Category:Swedish environmentalists|Category:Swedish people with disabilities|Category:Swedish women environmentalists|Category:Time Person of the Year|Category:Use British English from January 2019|Category:Use dmy dates from March 2024|Category:Veganism activists|Category:Webarchive template wayback links|Category:Wikipedia indefinitely semi-protected biographies of living people|Category:Youth climate activists,Greta Thunberg,ja,https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%AC%E3%82%BF%E3%83%BB%E3%83%88%E3%82%A5%E3%83%BC%E3%83%B3%E3%83%99%E3%83%AA
3,"ドゥルガー（サンスクリット語: दुर्गा, Durgā）は、ヒンドゥー教の女神である。その名は「近づき難い者」を意味する。デーヴァ神族の要請によってアスラ神族と戦った。シヴァ神の神妃とされ、パールヴァティーと同一視された。",Category:All articles with unsourced statements|Category:Articles containing Sanskrit-language text|Category:Articles having different image on Wikidata and Wikipedia|Category:Articles with short description|Category:Articles with unsourced statements from February 2017|Category:Articles with unsourced statements from January 2023|Category:Articles with unsourced statements from July 2023|Category:CS1 Bengali-language sources (bn)|Category:CS1 Hindi-language sources (hi)|Category:Commons category link from Wikidata|Category:Destroyer goddesses|Category:Durga|Category:Durga Puja|Category:EngvarB from August 2020|Category:Forms of Lakshmi|Category:Forms of Parvati|Category:Hindu goddesses|Category:Justice goddesses|Category:Mother goddesses|Category:Mythological swordfighters|Category:Shaktism|Category:Short description is different from Wikidata|Category:Use dmy dates from November 2021|Category:War goddesses|Category:Webarchive template wayback links,Durga,ja,https://ja.wikipedia.org/wiki/%E3%83%89%E3%82%A5%E3%83%AB%E3%82%AC%E3%83%BC
4,"サラスヴァティー, サラスワティー（サンスクリット語: सरस्वती, IAST: Sarasvatī）は、芸術・学問などの知を司るヒンドゥー教の女神である。日本では七福神の一柱、弁才天（弁財天）として親しまれており、仏教伝来時に『金光明経』を通じて中国から伝えられた。",Category:All articles covered by WikiProject Wikify|Category:All articles needing references cleanup|Category:All articles with unsourced statements|Category:Articles containing Burmese-language text|Category:Articles containing Chinese-language text|Category:Articles containing Japanese-language text|Category:Articles containing Sanskrit-language text|Category:Articles containing Standard Tibetan-language text|Category:Articles containing Thai-language text|Category:Articles covered by WikiProject Wikify from November 2023|Category:Articles having same image on Wikidata and Wikipedia|Category:Articles with short description|Category:Articles with unsourced statements from December 2023|Category:Articles with unsourced statements from February 2019|Category:Arts goddesses|Category:Buddhist goddesses|Category:Consorts of Brahma|Category:Consorts of Vishnu|Category:EngvarB from September 2016|Category:Hindu goddesses|Category:Jain minor deities|Category:Knowledge goddesses|Category:Music and singing goddesses|Category:Pages using Sister project links with default search|Category:Pages using infobox deity with color param|Category:Pages with Burmese IPA|Category:Personifications of rivers|Category:Rigvedic deities|Category:Saraswati|Category:Sea and river goddesses|Category:Shaktism|Category:Short description is different from Wikidata|Category:Taras|Category:Tiruvalluva Maalai contributors|Category:Use dmy dates from September 2016|Category:Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference|Category:Wikipedia articles incorporating text from the 1911 Encyclopædia Britannica|Category:Wikipedia articles needing clarification from February 2019|Category:Wikipedia pages semi-protected against vandalism|Category:Wikipedia references cleanup from November 2023|Category:Wisdom goddesses,Saraswati,ja,https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%A9%E3%82%B9%E3%83%B4%E3%82%A1%E3%83%86%E3%82%A3%E3%83%BC
5,イエス・キリスト（古代ギリシア語: Ίησοῦς Χριστός、ヘブライ語: יְהוֹשׁוַּע、 ラテン語: Iesus Chrestus、漢字：耶蘇基督または耶蘇（日本語読み:やそ））は、キリスト教を創始した、または創始した人物であるという意を有する人物である。ギリシア語で「キリストであるイエス」、または「イエスはキリストである」という内容を意味しており、イエス性でキリストが名という意味ではない。本項では、キリスト教の観点から見た、始祖・創始者としてのナザレのイエスについて述べる。,Category:0s BC births|Category:1st-century BCE Jews|Category:1st-century Jews|Category:1st-century apocalypticists|Category:1st-century executions|Category:1st-century people|Category:1st-century rabbis|Category:30s deaths|Category:Angelic visionaries|Category:Articles containing Ancient Greek (to 1453)-language text|Category:Articles containing Biblical Hebrew-language text|Category:Articles containing Church Slavonic-language text|Category:Articles containing Classical Syriac-language text|Category:Articles containing Coptic-language text|Category:Articles containing Ge'ez-language text|Category:Articles containing Hebrew-language text|Category:Articles containing Latin-language text|Category:Articles containing Tagalog-language text|Category:Articles incorporating a citation from the 1913 Catholic Encyclopedia with Wikisource reference|Category:Articles with Encyclopædia Britannica links|Category:Articles with hAudio microformats|Category:Articles with hCards|Category:Articles with short description|Category:Ascetics|Category:CS1 French-language sources (fr)|Category:Creator gods|Category:Deified men|Category:Exorcists|Category:Faith healers|Category:Featured articles|Category:Founders of religions|Category:God in Christianity|Category:Jesus|Category:Jewish messiah claimants|Category:Judean people|Category:Justice gods|Category:Killed deities|Category:Life-death-rebirth gods|Category:Miracle workers|Category:Names of God|Category:Nonviolence advocates|Category:Pages using Sister project links with hidden wikidata|Category:Pages using infobox person with multiple parents|Category:Pages using sidebar with the child parameter|Category:Pages with numeric Bible version references|Category:People considered avatars by their followers|Category:People executed by crucifixion|Category:People executed by the Roman Empire|Category:People from Bethlehem|Category:People from Nazareth|Category:Prophets in the Druze faith|Category:Prophets of the New Testament|Category:Rabbis of the Land of Israel|Category:Savior gods|Category:Short description is different from Wikidata|Category:Spoken articles|Category:Torture victims|Category:Use Oxford spelling from December 2024|Category:Use dmy dates from February 2024|Category:Webarchive template wayback links|Category:Wikipedia indefinitely move-protected pages|Category:Wikipedia indefinitely semi-protected pages|Category:Year of birth uncertain|Category:Year of death uncertain,Jesus,ja,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%A8%E3%82%B9%E3%83%BB%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88
6,"聖母マリア（せいぼマリア、ヘブライ語: מִרְיָם, Miryām, アラム語: ܡܪܝܡ, Maryām, ギリシア語: Μαρία, María）は、イエス・キリスト（ナザレのイエス）の母、ナザレのヨセフの妻。ヨアキムとアンナの娘とされている。「聖母（せいぼ）」はカトリック教会、聖公会で最も一般的称号である。おとめマリア、処女マリア、神の母マリアとも。正教会の一員である日本ハリストス正教会では生神女マリヤ（しょうしんじょマリヤ）の表現が多用される。この記事ではキリスト教におけるマリアのみについて取り上げる。",Category:All article disambiguation pages|Category:All disambiguation pages|Category:Disambiguation pages|Category:Disambiguation pages with given-name-holder lists|Category:Place name disambiguation pages|Category:Short description is different from Wikidata,Mary,ja,https://ja.wikipedia.org/wiki/%E8%81%96%E6%AF%8D%E3%83%9E%E3%83%AA%E3%82%A2
7,マハーヴィーラ（サンスクリット語:Mahāvīra、महावीर、「偉大な勇者」、漢訳仏典では「大雄（大勇）」）は、ジャイナ教の開祖である。出家以前の名はヴァルダマーナ（サンスクリット語:Vardhamāna、वर्धमान、原義は「栄える者」）であった。クシャトリヤ出身。仏教を開いたガウタマ・シッダールタと同時代の人であり、生存年代には異説も多い（後述「生没年について」）が、一説によれば紀元前549年生まれ、紀元前477年死没とされている。古代インドの自由思想家であり、仏教の立場からは「六師外道」の1人という位置付けになる。,Category:5th-century BC Indian Jains|Category:5th-century BC Indian monks|Category:5th-century BC Indian philosophers|Category:5th-century BC Jain monks|Category:6th-century BC Indian Jains|Category:6th-century BC Indian monks|Category:6th-century BC Indian people|Category:6th-century BC Indian philosophers|Category:6th-century BC Jain monks|Category:All Wikipedia articles written in Indian English|Category:Articles having same image on Wikidata and Wikipedia|Category:Articles with short description|Category:Ascetics|Category:CS1: long volume value|Category:CS1 Hindi-language sources (hi)|Category:CS1 maint: location missing publisher|Category:Commons category link from Wikidata|Category:Indian Jain monks|Category:Indian Jain religious leaders|Category:Indian nonviolence advocates|Category:Indian princes|Category:Mahavira|Category:Nāyas|Category:Pages using Sister project links with default search|Category:People from Bihar|Category:People from the Vajjika League|Category:Short description matches Wikidata|Category:Solar dynasty|Category:Source attribution|Category:Tirthankaras|Category:Use Indian English from December 2015|Category:Use dmy dates from December 2015,Mahavira,ja,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%8F%E3%83%BC%E3%83%B4%E3%82%A3%E3%83%BC%E3%83%A9
8,"アッラーフ（アラビア語: الله, Allāh, アッラー（フ））は、イブラーヒームの宗教の唯一神ヤハウェに対するアラビア語呼称。",Category:Allah|Category:Arabian deities|Category:Arabian gods|Category:Articles containing Arabic-language text|Category:Articles containing Classical Syriac-language text|Category:Articles containing Dutch-language text|Category:Articles containing Hebrew-language text|Category:Articles containing Imperial Aramaic (700-300 BCE)-language text|Category:Articles containing Indonesian-language text|Category:Articles containing Malay (individual language)-language text|Category:Articles containing Malay (macrolanguage)-language text|Category:Articles containing Portuguese-language text|Category:Articles containing Spanish-language text|Category:Articles with short description|Category:CS1 Spanish-language sources (es)|Category:Commons category link is on Wikidata|Category:Good articles|Category:Islamic terminology|Category:Middle Eastern gods|Category:Names of God|Category:Pages including recorded pronunciations|Category:Pages using the Phonos extension|Category:Pages with Arabic IPA|Category:Pages with plain IPA|Category:Short description matches Wikidata|Category:Use dmy dates from July 2020|Category:Webarchive template wayback links|Category:Wikipedia indefinitely move-protected pages|Category:Wikipedia indefinitely semi-protected pages,Allah,ja,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%83%E3%83%A9%E3%83%BC%E3%83%95
9,ドゥルヨーダナ（梵: दुर्योधन、IAST：Duryodhana）は、インドの叙事詩『マハーバーラタ』の登場人物。盲目王ドリタラーシュトラと妃ガーンダーリーとの間に生まれたカウラヴァ百人兄弟の長男。  邪悪で嫉妬深い性格から従兄弟のパーンダヴァ五兄弟と対立し、クルクシェートラの戦いを引き起こした。マハーバーラタにおいては、悪魔（カリ）の化身とされる。カリとは最悪の賽の目であり、最悪の時代（カリ・ユガ）を表す。ドゥヴァーパラ（二番目に悪い賽の目、および時代）の化身とされる母方の伯父のシャクニと関係が深い。,Category:All articles needing additional references|Category:All articles with unsourced statements|Category:Articles containing Sanskrit-language text|Category:Articles needing additional references from March 2021|Category:Articles needing additional references from May 2023|Category:Articles with short description|Category:Articles with unsourced statements from January 2022|Category:Articles with unsourced statements from March 2021|Category:CS1 German-language sources (de)|Category:Characters in the Mahabharata|Category:Commons category link is on Wikidata|Category:Forms of Kali (demon)|Category:Kauravas|Category:Princes in Hindu mythology|Category:Short description is different from Wikidata|Category:Use dmy dates from November 2020,Duryodhana,ja,https://ja.wikipedia.org/wiki/%E3%83%89%E3%82%A5%E3%83%AB%E3%83%A8%E3%83%BC%E3%83%80%E3%83%8A
