,jv_intro,en_categories,title,language,link
0,"Rishi Sunak (basa Inggris: /ˈrɪʃɪ ˈsuːnæk/; lair 12 Mei 1980) iku pulitikus Britanie, sing tau dadi Perdana Menteri Karajan Manunggal Britanie Agung lan dadi pesirahé Parté Konservatif wiwit Oktober 2022 nganti Juli 2024. Dhèwèké wong turunan India kapisan lan wong sing agama Hindu sing dadi perdana menteri Karajan Manunggal Britanie Agung lan Irlan Lor. Sunak lair ing Southampton saka wong tuwa turunan India sing ngalih menyang Inggris saka Afrika Wétan ing taun 1960-an. Dhèwèké sinau ing Winchester College, sinau filsafat, politik lan ékonomi ing Lincoln College, Oxford, lan éntuk gelar MBA saka Universitas Stanford ing California minangka Fulbright Scholar. Sajroné wektu ing Universitas Oxford, Sunak magang ing Kantor Punjer Konservatif, lan nggabung karo Parté Konservatif. Sawisé lulus, Sunak nyambut gawé ing Goldman Sachs lan banjur dadi mitra ing perusahaan hedge funds The Children's Investment Fund Management lan Theleme Partners.Sunak kapilih dadi anggota DPR (House of Commons) ing taun 2015.","Category:1980 births|Category:21st-century prime ministers of the United Kingdom|Category:All articles with dead external links|Category:All articles with unsourced statements|Category:Alumni of Lincoln College, Oxford|Category:Articles with dead external links from February 2025|Category:Articles with hAudio microformats|Category:Articles with short description|Category:Articles with unsourced statements from September 2023|Category:British Indian history|Category:CS1 maint: multiple names: authors list|Category:Chancellors of the Exchequer of the United Kingdom|Category:Chief Secretaries to the Treasury|Category:Conservative Party (UK) MPs for English constituencies|Category:Conservative Party prime ministers of the United Kingdom|Category:English Hindus|Category:English people of Indian descent|Category:English people of Punjabi descent|Category:Goldman Sachs people|Category:Leaders of the Conservative Party (UK)|Category:Leaders of the Opposition (United Kingdom)|Category:Living people|Category:Members of the Privy Council of the United Kingdom|Category:Pages including recorded pronunciations|Category:Pages using Sister project links with hidden wikidata|Category:Pages using the Phonos extension|Category:Partygate scandal|Category:People appearing on C-SPAN|Category:People educated at Winchester College|Category:Politicians from Southampton|Category:Right-wing politics in the United Kingdom|Category:Rishi Sunak|Category:Short description matches Wikidata|Category:Stanford Graduate School of Business alumni|Category:UK MPs 2015–2017|Category:UK MPs 2017–2019|Category:UK MPs 2019–2024|Category:UK MPs 2024–present|Category:Use British English from December 2023|Category:Use dmy dates from February 2025|Category:Wikipedia indefinitely semi-protected pages",Rishi Sunak,jv,https://jv.wikipedia.org/wiki/Rishi_Sunak
1,"Bidya Devi Bhandari (basa Nepali: विद्यादेवी भण्डारी, diwaca [bid̚djadebi bʱʌɳɖaɾi]; lair  19 Juni 1961; umur 63 taun) yaiku pulitikus Nepal sing dadin presidhen Nepal kapindho. Ia menika wadon kapisan sing megang jabatan kasebut ing nagara kasebut.","Category:1961 births|Category:21st-century Nepalese women politicians|Category:21st-century women presidents|Category:Articles containing Nepali (macrolanguage)-language text|Category:Articles with short description|Category:CS1 Nepali-language sources (ne)|Category:Candidates for President of Nepal|Category:Commons category link from Wikidata|Category:Communist Party of Nepal (Unified Marxist–Leninist) politicians|Category:Female defence ministers|Category:Female heads of state|Category:First women presidents in Asia|Category:Independent politicians in Nepal|Category:Living people|Category:Members of the 2nd Nepalese Constituent Assembly|Category:Ministers of defence of Nepal|Category:Nepal MPs 1991–1994|Category:Nepal MPs 1994–1999|Category:Nepal MPs 1999–2002|Category:Nepalese Hindus|Category:Pages with Nepali (macrolanguage) IPA|Category:People from Bhojpur District, Nepal|Category:Presidents of Nepal|Category:Short description is different from Wikidata|Category:Use dmy dates from October 2015|Category:Women presidents in Asia",Bidya Devi Bhandari,jv,https://jv.wikipedia.org/wiki/Bidya_Devi_Bhandari
2,"Greta Thunberg FRSGS (lair tanggal 3 Januari 2003) iku sawijining aktivis iklim lan lingkungan saka Swèdhen. Dhèwèké wiwit kondhang ing sasi Agustus taun 2018, nalika umur 15 taun. Ing wektu iku, dhèwèké wiwit mogok sekolah lan ngananakaké kampanyé bab pemanasan global sanjabané gedhung parlemèné Swèdhen. Dhèwèké nggawa sawijining plang kanthi tulisan ing basa Swèdhen kang unine Skolstrejk för klimatet (mogok sekolah kanggo iklim). Sawisé iku, bocah-bocah sekolah liyané padha mèlu-mèlu gawé kampanyé kaya kang dilakokaé Greta ing panggoné dhéwé-dhéwé. Bocah-bocah iki bebarengan gawé sawijining obahan kang dijenengi Fridays for Future kang peduli marang iklim kanthi mogok sekolah.",Category:2003 births|Category:21st-century Swedish people|Category:21st-century Swedish women|Category:Activists for Palestinian solidarity|Category:Activists with disabilities|Category:All articles containing potentially dated statements|Category:Articles containing Swedish-language text|Category:Articles containing potentially dated statements from April 2022|Category:Articles containing video clips|Category:Articles with hCards|Category:Articles with short description|Category:Autism activists|Category:Biography with signature|Category:CS1 Finnish-language sources (fi)|Category:CS1 French-language sources (fr)|Category:CS1 German-language sources (de)|Category:CS1 Portuguese-language sources (pt)|Category:CS1 Spanish-language sources (es)|Category:CS1 Swedish-language sources (sv)|Category:CS1 interproject-linked names|Category:CS1 interwiki-linked names|Category:Fellows of the Royal Scottish Geographical Society|Category:Good articles|Category:Greta Thunberg|Category:Living people|Category:Pages including recorded pronunciations|Category:Pages using the Phonos extension|Category:Pages with Swedish IPA|Category:Peace award winners|Category:People appearing on C-SPAN|Category:People from Stockholm|Category:People with Asperger syndrome|Category:People with obsessive–compulsive disorder|Category:Short description is different from Wikidata|Category:Sommar (radio program) hosts|Category:Swedish anti-Zionists|Category:Swedish climate activists|Category:Swedish environmentalists|Category:Swedish people with disabilities|Category:Swedish women environmentalists|Category:Time Person of the Year|Category:Use British English from January 2019|Category:Use dmy dates from March 2024|Category:Veganism activists|Category:Webarchive template wayback links|Category:Wikipedia indefinitely semi-protected biographies of living people|Category:Youth climate activists,Greta Thunberg,jv,https://jv.wikipedia.org/wiki/Greta_Thunberg
3,Dèwi Durga (utawa Bethari Durga) yaiku ibu saka Déwa Ganesa lan Déwa Kumara (Kartikeya). Dhèwèké uga diarani Uma utawa Parwati. Dèwi Durga racaké digambaraké minangka wong wadon ayu kang kuning kulité lan tumpakané macan. Dhèwèké duwé tangan akèh.Bathari Durga iku salah sijiné paraga wayang kang misuwur minangka déwaning panggoda kang dhemen ngrerindhu manungsa supaya sasar tumindaké ing pangajab bisa dadi bucara bucari ya balané Bathari Durga.Dèwi Durga iku manggon ing alas Krendhawahana. Padunungané Bathari Durga yakuwi ing Khahyangan Dhandhang Mangore kang gumelar wujud bledhengan aran alas Setra Gandamaya alas Krendhawahana.,Category:All articles with unsourced statements|Category:Articles containing Sanskrit-language text|Category:Articles having different image on Wikidata and Wikipedia|Category:Articles with short description|Category:Articles with unsourced statements from February 2017|Category:Articles with unsourced statements from January 2023|Category:Articles with unsourced statements from July 2023|Category:CS1 Bengali-language sources (bn)|Category:CS1 Hindi-language sources (hi)|Category:Commons category link from Wikidata|Category:Destroyer goddesses|Category:Durga|Category:Durga Puja|Category:EngvarB from August 2020|Category:Forms of Lakshmi|Category:Forms of Parvati|Category:Hindu goddesses|Category:Justice goddesses|Category:Mother goddesses|Category:Mythological swordfighters|Category:Shaktism|Category:Short description is different from Wikidata|Category:Use dmy dates from November 2021|Category:War goddesses|Category:Webarchive template wayback links,Durga,jv,https://jv.wikipedia.org/wiki/Durga
4,"Saraswati inggih punika salah satunggal saking tigang dèwi utama wonten ing agama Hindhu, dèwi ingkang sanèsipun inggih punika Dèwi Sri Laksmi saha Dèwi Durga. Saraswati inggih punika sakti utawi garwanipun Déwa Brahma. Saraswati punika asalipun saking tembung sr ingkang ngemu teges ""ngalir"". Wonten sajeroning kitab Rgweda V. 75.3, Saraswati ugi ingaran Dèwi Kali, kejawi Gangga, Yamuna lan sapiturutipun.",Category:All articles covered by WikiProject Wikify|Category:All articles needing references cleanup|Category:All articles with unsourced statements|Category:Articles containing Burmese-language text|Category:Articles containing Chinese-language text|Category:Articles containing Japanese-language text|Category:Articles containing Sanskrit-language text|Category:Articles containing Standard Tibetan-language text|Category:Articles containing Thai-language text|Category:Articles covered by WikiProject Wikify from November 2023|Category:Articles having same image on Wikidata and Wikipedia|Category:Articles with short description|Category:Articles with unsourced statements from December 2023|Category:Articles with unsourced statements from February 2019|Category:Arts goddesses|Category:Buddhist goddesses|Category:Consorts of Brahma|Category:Consorts of Vishnu|Category:EngvarB from September 2016|Category:Hindu goddesses|Category:Jain minor deities|Category:Knowledge goddesses|Category:Music and singing goddesses|Category:Pages using Sister project links with default search|Category:Pages using infobox deity with color param|Category:Pages with Burmese IPA|Category:Personifications of rivers|Category:Rigvedic deities|Category:Saraswati|Category:Sea and river goddesses|Category:Shaktism|Category:Short description is different from Wikidata|Category:Taras|Category:Tiruvalluva Maalai contributors|Category:Use dmy dates from September 2016|Category:Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference|Category:Wikipedia articles incorporating text from the 1911 Encyclopædia Britannica|Category:Wikipedia articles needing clarification from February 2019|Category:Wikipedia pages semi-protected against vandalism|Category:Wikipedia references cleanup from November 2023|Category:Wisdom goddesses,Saraswati,jv,https://jv.wikipedia.org/wiki/Saraswati
5,"Yesus saking Nazarèt (kirang langkung antawis taun 4 SM ngantos 30–33 M) punika satunggaling tukang kayu, pengkhotbah/pangajar, panyaras, guru/rabbi, pedamel mujizat, lan tokoh Yahudi ingkang paling misuwur; ing kakristenan Yesus Kristus. Tiyang Kristen pitados, Yesus punika Putraning Allah, Hyang, Mesias, lan Juru Wilujeng umat manungsa.Nami ""Yesus"" punika alihaksara saking basa Yunani Ιησους [Iēsoûs], ingkang ing giliranipun ugi wujud alih aksara saking basa Aram utawi basa Ibrani inggih punika: Yeshua, ingkang tegesipun : Kawilujengan, utawi ""Hyang punika kawilujengan"", ""Hyang milujengaken"". ""Kristus"" punika gelar ing teologi ugi asalipun saking basa Yunani Χριστός [Christos], ingkang saking basa Ibrani ""Mesias"", tegesipun ""ingkang dipunurapi"" utawi ""ingkang kapilih"". Ing Islam, Yesus (Arab: عيسى‎‎,[Isa]) kanthi umum dipunsebat kanthi nama Isa bin Maryam ingkang tegesipun Isa putra saking Maria. Panjenenganipun dipunanggep minangka salah satunggaling nabi wigati saking Hyang. pawarta Injil lan pedamel kaajaiban.Gusti Yesus punika Juru Wilujeng ingkang sajatosAlasanipun menapa? Inggih punika amargi :1. Yesus kristus punika sanès tiyang ingkang asalipun saking Donya punika, namung asalipun saking Swargo.2.Yesus Kristus punika namung satunggal-tunggalipun tiyang ingkang nglampahi séda lan wungu malih saking antawisipun tiyang pejah.3.Yesus Kristus punika kadunungan Rohipun Allah ingkang akarya jagad punika lan sampun kapasrahan sadaya panguwaos wonten ing bumi tuwin wonten ing swarga.",Category:0s BC births|Category:1st-century BCE Jews|Category:1st-century Jews|Category:1st-century apocalypticists|Category:1st-century executions|Category:1st-century people|Category:1st-century rabbis|Category:30s deaths|Category:Angelic visionaries|Category:Articles containing Ancient Greek (to 1453)-language text|Category:Articles containing Biblical Hebrew-language text|Category:Articles containing Church Slavonic-language text|Category:Articles containing Classical Syriac-language text|Category:Articles containing Coptic-language text|Category:Articles containing Ge'ez-language text|Category:Articles containing Hebrew-language text|Category:Articles containing Latin-language text|Category:Articles containing Tagalog-language text|Category:Articles incorporating a citation from the 1913 Catholic Encyclopedia with Wikisource reference|Category:Articles with Encyclopædia Britannica links|Category:Articles with hAudio microformats|Category:Articles with hCards|Category:Articles with short description|Category:Ascetics|Category:CS1 French-language sources (fr)|Category:Creator gods|Category:Deified men|Category:Exorcists|Category:Faith healers|Category:Featured articles|Category:Founders of religions|Category:God in Christianity|Category:Jesus|Category:Jewish messiah claimants|Category:Judean people|Category:Justice gods|Category:Killed deities|Category:Life-death-rebirth gods|Category:Miracle workers|Category:Names of God|Category:Nonviolence advocates|Category:Pages using Sister project links with hidden wikidata|Category:Pages using infobox person with multiple parents|Category:Pages using sidebar with the child parameter|Category:Pages with numeric Bible version references|Category:People considered avatars by their followers|Category:People executed by crucifixion|Category:People executed by the Roman Empire|Category:People from Bethlehem|Category:People from Nazareth|Category:Prophets in the Druze faith|Category:Prophets of the New Testament|Category:Rabbis of the Land of Israel|Category:Savior gods|Category:Short description is different from Wikidata|Category:Spoken articles|Category:Torture victims|Category:Use Oxford spelling from December 2024|Category:Use dmy dates from February 2024|Category:Webarchive template wayback links|Category:Wikipedia indefinitely move-protected pages|Category:Wikipedia indefinitely semi-protected pages|Category:Year of birth uncertain|Category:Year of death uncertain,Jesus,jv,https://jv.wikipedia.org/wiki/Y%C3%A9sus_Kristus
6,"Kanggé kagunan sanès saking ', mangga mriksani [[]].Maria (Aram-Yahudi מרים Maryām ""pait""; Basa Yunani Septuaginta Μαριαμ, Mariam, Μαρια, Maria; Basa Arab: Maryam, مريم) iku ibuné Yesus lan tunangan Yusuf sajeroning Kekristenan lan Islam.Miturut sumber-sumber non-kanonik, wongtuwané asma Yoakim lan Hana. Sawijining téyori ngandhakaké yèn asma bapaké yaiku Heli, kang disebutaké sajeroning silsilah miturut Lukas. Maria, kang wektu iku siji perawan, weruh saka malaékat Gabriel, utusan Allah, yèn bakal ngandhut Yesus, anak saka Allah kang urip, liwat mukjizat saka Roh Suci.Amarga Lukas 1:48 (""wiwit saiki kabèh katurunan bakal nyebut aku bahagia""), Maria akèh diagungaké ing kalangan wong Kristen, mligi ing lingkungan Gréja Katulik Roma lan Gréja Ortodoks. Umat Muslim uga ngurmati Maria. Babagan téyologi Kristen kang magepokan karan Mariologi. Pista kelairan Maria dipèngeti ing kalangan Gréja Ortodoks, Katulik Roma, lan Anglikan tanggal 8 September. Gréja Ortodoks lan Katulik Roma uga duwé akèh dina karaméan liyané kanggo ngurmati Maria.",Category:All article disambiguation pages|Category:All disambiguation pages|Category:Disambiguation pages|Category:Disambiguation pages with given-name-holder lists|Category:Place name disambiguation pages|Category:Short description is different from Wikidata,Mary,jv,https://jv.wikipedia.org/wiki/Maria
7,"Mahavir (Sansekerta महावीर, Kannada ಮಹಾವೀರ lan Tamil அருகன்(""Arugan"") ingkang gadhah teges ""Pahlawan Besar"" utawi Vardhamana, gesang ing jaman (599 – 527 SM). Lair ing India sisih wétan, ing laladan ingkang sami kaliyan lairipun Buda Gotama, nanging bènten jaman utawi generasinipun. Mahavira inggih punika asma ingkang sampun limrah dipun-ginakaken kaum Jain tumrap Vardhamana, tiyang ingkang dados tukoh utama panyebar agama kaum Jain. Ing yuswa tigang dasa taun, panjenenganipun nilar kadonyan (nilar garwa lan putrinipun) saperlu mados margi ingkang lurus lan kepuasan spiritiul.Verdhamana dados pendheta aliran dhisiplin Parsyanatha, aliran punika kalebet aliran ingkang alit nanging gadhah paugeran-paugeran ingkang banget kedah dipunlaksanakaken déning tiyang ingkang nyepeng aliran punika. Sadangunipun kalih welas taun, panjenenganipun tapa brata utawi meditasi. Asring pasa, boten gadhah bandha donya menapa-menapa.Nalika yuswanipun sekawan dasa kalih taun. Mahavira gadhah pamanggih manawi panjenenganipun sampun pikantuk “kecerahan spiritual”. Panjenenganipun lajeng ngajar lan khotbah bab spiritual. Nalika panjenengan tilar donya taun 527 SM, panjenenganipun sampun pikantuk kathah pangikut.Sejatosipun dhoktrin Mahavira ameh sami kaliyan ajaran Buda lan Hindhu. Kaum Jain percados manawi manungsa séda, jiwanipun boten ndhèrèk séda nanging reinkarnasi dhateng badan ingkang sanès (sanès badanipun manungsa). Doktrin punika inggih punika salah satunggalipun lelandhesanipun kaum Jain. Jainisme percados wontenipun karma, dontrin bab etika konsekuensi saking sadaya “tingkah laku” badhé dipunwales ing mangkenipun. Supados sadaya dosa saged ical punika kedah dipunsucikaken kanthi nilar kasenengan donya. Mligi kanggé pendheta-pendheta kaum Jain kedah nengenaken gesang prasaja. Aspek agama Jain ingkang paling awrat inggih punika dhoktrin ahimsa utawi boten mawi kacongrahan. Jain gadhah gegebengan inggih punika boten kepareng gadhah sipat awon dhumateng kéwan lan manungsa. Amargi punika, kaum Jain dados “vegetarian” utawi namung dhahar ron utawi wit-witan kemawon.",Category:5th-century BC Indian Jains|Category:5th-century BC Indian monks|Category:5th-century BC Indian philosophers|Category:5th-century BC Jain monks|Category:6th-century BC Indian Jains|Category:6th-century BC Indian monks|Category:6th-century BC Indian people|Category:6th-century BC Indian philosophers|Category:6th-century BC Jain monks|Category:All Wikipedia articles written in Indian English|Category:Articles having same image on Wikidata and Wikipedia|Category:Articles with short description|Category:Ascetics|Category:CS1: long volume value|Category:CS1 Hindi-language sources (hi)|Category:CS1 maint: location missing publisher|Category:Commons category link from Wikidata|Category:Indian Jain monks|Category:Indian Jain religious leaders|Category:Indian nonviolence advocates|Category:Indian princes|Category:Mahavira|Category:Nāyas|Category:Pages using Sister project links with default search|Category:People from Bihar|Category:People from the Vajjika League|Category:Short description matches Wikidata|Category:Solar dynasty|Category:Source attribution|Category:Tirthankaras|Category:Use Indian English from December 2015|Category:Use dmy dates from December 2015,Mahavira,jv,https://jv.wikipedia.org/wiki/Mahavira
8,"Allah (basa Arab allāhu الله) utawi kadhang kala ditembungaken déning tiyang Jawi dados Gustialah utawi Gusti Allah, inggih punika iku siji tembung kang dipundhut saking basa Arab ingkang ateges ""Pangèran"". Tembung punika luwih kesohor minangka asma tumrap Pengèran déning tiyang ingkang anganut agami Islam. Tembung punika wonten kalangan para panutur basa Arab, minangka tembung kang umum kanggo peparing asma tumrap Pengèran, kalebet kanggé tiyang Yahudi kaliyan Kristen Arab. Mangka, tembung punika katingal dipungunakaken ugi wonten pertalan kitab suci agama Kristen kaliyan Yahudi ingkang ngagem basa Arab, ugi pertalan Injil wonten basa Indonésia kaliyan Turki.",Category:Allah|Category:Arabian deities|Category:Arabian gods|Category:Articles containing Arabic-language text|Category:Articles containing Classical Syriac-language text|Category:Articles containing Dutch-language text|Category:Articles containing Hebrew-language text|Category:Articles containing Imperial Aramaic (700-300 BCE)-language text|Category:Articles containing Indonesian-language text|Category:Articles containing Malay (individual language)-language text|Category:Articles containing Malay (macrolanguage)-language text|Category:Articles containing Portuguese-language text|Category:Articles containing Spanish-language text|Category:Articles with short description|Category:CS1 Spanish-language sources (es)|Category:Commons category link is on Wikidata|Category:Good articles|Category:Islamic terminology|Category:Middle Eastern gods|Category:Names of God|Category:Pages including recorded pronunciations|Category:Pages using the Phonos extension|Category:Pages with Arabic IPA|Category:Pages with plain IPA|Category:Short description matches Wikidata|Category:Use dmy dates from July 2020|Category:Webarchive template wayback links|Category:Wikipedia indefinitely move-protected pages|Category:Wikipedia indefinitely semi-protected pages,Allah,jv,https://jv.wikipedia.org/wiki/Allah
9,"Duryodana utawa Duryudana iku ratu ing Ngastina (Hastina) Ing layang Mahabharata karan Droyudhana. Dasanamane miturut padhalangan: Suyudana, Jakapitana,Jayapitana, Kurupati, Gendharisuta, Dhasthaputra, Tri Mamangsah. Duryudana iku putrane Prabu Dhestharastra lan Dewi Gendhari sing tuwa dhéwé. Nalika lair ora salumrahe bayi, nanging wujud tengkelan daging, kaya tugelan daging kebo. Daging mau polah kroncalan. Déning Dewi Gendari daging ditendhang sakayange, satemah sigar dadi loro. Dewi Gendari saya duka. Sigarane daging sing sijiné diidhak-idhak, satemah ajur dadi pirang-pirang, pating kruget kaya singgat. Daging mau banjur ditutupi godhong lumbu. Daging sing gedhé dhéwé dadi bayi loro, Duryudana lan Dursasana. Déné daging sing cilik-cilik dadi adhi-adhine kang banjur karan Sata Kurawa. Tembung Sata tegesé satus (sanadyan cacahé 101), déné Kurawa iku mengku teges darah Kuru.Duryudana sa adhi-adhine iku watake angkara murka, srei, jail-methakil, jalaran tansah diapusi lan diojok-ojoki déning bapa pamane, Patih Harya Sengkuni (Sakuni). Bedha karo Prabu Dasamuka, nata ing Ngalengka kae, sanajan padha-padha watake angkara murka, nanging yèn Dasamuka kabèh tumindhake sing angkara murka iku tukul saka prentule atine dhéwé. Déné yèn Duryudana anggoné duwé watak angkara murka amarga disetir déning Patih Sengkuni. Mula Duryudana iya banjur tansah mungsuhi marang para Pandhawa",Category:All articles needing additional references|Category:All articles with unsourced statements|Category:Articles containing Sanskrit-language text|Category:Articles needing additional references from March 2021|Category:Articles needing additional references from May 2023|Category:Articles with short description|Category:Articles with unsourced statements from January 2022|Category:Articles with unsourced statements from March 2021|Category:CS1 German-language sources (de)|Category:Characters in the Mahabharata|Category:Commons category link is on Wikidata|Category:Forms of Kali (demon)|Category:Kauravas|Category:Princes in Hindu mythology|Category:Short description is different from Wikidata|Category:Use dmy dates from November 2020,Duryodhana,jv,https://jv.wikipedia.org/wiki/Duryodana
